v1	Ib(Q1)	Ic(Q1)
Step Information: I1=100µ  (Run: 1/10)
1.390000000000001e+00	1.000000e-04	1.894136e-02
1.400000000000001e+00	1.000000e-04	1.894324e-02
1.410000000000001e+00	1.000000e-04	1.894513e-02
1.420000000000001e+00	1.000000e-04	1.894701e-02
1.430000000000001e+00	1.000000e-04	1.894889e-02
1.440000000000001e+00	1.000000e-04	1.895077e-02
1.450000000000001e+00	1.000000e-04	1.895265e-02
1.460000000000001e+00	1.000000e-04	1.895453e-02
1.470000000000001e+00	1.000000e-04	1.895642e-02
1.480000000000001e+00	1.000000e-04	1.895830e-02
1.490000000000001e+00	1.000000e-04	1.896018e-02
1.500000000000000e+00	1.000000e-04	1.896206e-02
Step Information: I1=200µ  (Run: 2/10)
0.000000000000000e+00	2.000000e-04	-1.957250e-04
1.000000000000000e-02	2.000000e-04	7.626347e-05
2.000000000000000e-02	2.000000e-04	4.643216e-04
3.000000000000000e-02	2.000000e-04	1.010807e-03
4.000000000000000e-02	2.000000e-04	1.766989e-03
5.000000000000000e-02	2.000000e-04	2.789615e-03
6.000000000000000e-02	2.000000e-04	4.133368e-03
7.000000000000001e-02	2.000000e-04	5.839315e-03
8.000000000000000e-02	2.000000e-04	7.921665e-03
9.000000000000000e-02	2.000000e-04	1.035715e-02
9.999999999999999e-02	2.000000e-04	1.308122e-02
1.100000000000000e-01	2.000000e-04	1.599284e-02
1.200000000000000e-01	2.000000e-04	1.896645e-02
1.300000000000000e-01	2.000000e-04	2.186833e-02
1.400000000000000e-01	2.000000e-04	2.457421e-02
1.500000000000000e-01	2.000000e-04	2.698545e-02
1.600000000000000e-01	2.000000e-04	2.904058e-02
1.700000000000000e-01	2.000000e-04	3.071948e-02
1.800000000000000e-01	2.000000e-04	3.203886e-02
1.900000000000000e-01	2.000000e-04	3.304134e-02
2.000000000000000e-01	2.000000e-04	3.378209e-02
2.100000000000000e-01	2.000000e-04	3.431762e-02
2.200000000000001e-01	2.000000e-04	3.469853e-02
2.300000000000001e-01	2.000000e-04	3.496637e-02
2.400000000000001e-01	2.000000e-04	3.515334e-02
2.500000000000001e-01	2.000000e-04	3.528336e-02
2.600000000000001e-01	2.000000e-04	3.537372e-02
2.700000000000001e-01	2.000000e-04	3.543667e-02
2.800000000000001e-01	2.000000e-04	3.548077e-02
2.900000000000001e-01	2.000000e-04	3.551198e-02
3.000000000000001e-01	2.000000e-04	3.553436e-02
3.100000000000001e-01	2.000000e-04	3.555074e-02
3.200000000000001e-01	2.000000e-04	3.556302e-02
3.300000000000001e-01	2.000000e-04	3.557252e-02
3.400000000000001e-01	2.000000e-04	3.558011e-02
3.500000000000001e-01	2.000000e-04	3.558642e-02
3.600000000000002e-01	2.000000e-04	3.559186e-02
3.700000000000002e-01	2.000000e-04	3.559669e-02
3.800000000000002e-01	2.000000e-04	3.560112e-02
3.900000000000002e-01	2.000000e-04	3.560528e-02
4.000000000000002e-01	2.000000e-04	3.560925e-02
4.100000000000002e-01	2.000000e-04	3.561309e-02
4.200000000000002e-01	2.000000e-04	3.561685e-02
4.300000000000002e-01	2.000000e-04	3.562055e-02
4.400000000000002e-01	2.000000e-04	3.562421e-02
4.500000000000002e-01	2.000000e-04	3.562784e-02
4.600000000000002e-01	2.000000e-04	3.563145e-02
4.700000000000003e-01	2.000000e-04	3.563505e-02
4.800000000000003e-01	2.000000e-04	3.563864e-02
4.900000000000003e-01	2.000000e-04	3.564223e-02
5.000000000000002e-01	2.000000e-04	3.564581e-02
5.100000000000002e-01	2.000000e-04	3.564939e-02
5.200000000000002e-01	2.000000e-04	3.565297e-02
5.300000000000002e-01	2.000000e-04	3.565654e-02
5.400000000000003e-01	2.000000e-04	3.566012e-02
5.500000000000003e-01	2.000000e-04	3.566369e-02
